xflr5 v6.61

Project Wing
T1-10.0 m/s-Panel-Inviscid
QInf  =,   10.000000 ,m/s
Alpha = ,   0.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.215252
Cy    = ,   0.000000
Cd=,   0.001470,ICd=,    0.001470,PCd=,    0.000000
Cl   = ,2.72552e-16
Cm   =,   -0.350077
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    8.579703, YCP=,   -0.000000, ZCP=,    0.881169 
XNP=,    0.000000
Bending =, 14196.479564

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -23.8795,   2.2299, -2.411, 0.091466, 0.000000, 0.003852,-0.644806,-0.026139, 0.0000, 0.0000, 0.5140, 0.0000
  -23.6977,   2.2692, -1.743, 0.147056, 0.000000, 0.004474,-0.949563,-0.042072, 0.0000, 0.0000, 0.5333, 0.2112
  -23.3357,   2.3476, -1.193, 0.188681, 0.000000, 0.003930,-1.130796,-0.049614, 0.0000, 0.0000, 0.5171, 2.6928
  -22.7960,   2.4644, -0.826, 0.215216, 0.000000, 0.003103,-1.211410,-0.054939, 0.0000, 0.0000, 0.5081,13.1518
  -22.0828,   2.6189, -0.599, 0.230782, 0.000000, 0.002411,-1.198667,-0.057965, 0.0000, 0.0000, 0.5028,41.8346
  -21.2015,   2.8097, -0.461, 0.238943, 0.000000, 0.001921,-1.125096,-0.059556, 0.0000, 0.0000, 0.5003,103.9074
  -20.1589,   3.0354, -0.380, 0.242301, 0.000000, 0.001606,-1.019303,-0.060367, 0.0000, 0.0000, 0.5000,219.5739
  -18.9629,   3.2943, -0.336, 0.242575, 0.000000, 0.001423,-0.900841,-0.060779, 0.0000, 0.0000, 0.5015,414.0139
  -17.6226,   3.5845, -0.317, 0.240820, 0.000000, 0.001331,-0.781600,-0.060983, 0.0000, 0.0000, 0.5043,717.1099
  -16.1481,   3.9038, -0.313, 0.237654, 0.000000, 0.001298,-0.668227,-0.061077, 0.0000, 0.0000, 0.5084,1162.8845
  -14.5508,   4.2496, -0.320, 0.233420, 0.000000, 0.001303,-0.564078,-0.061108, 0.0000, 0.0000, 0.5136,1788.5702
  -12.8427,   4.6194, -0.334, 0.228285, 0.000000, 0.001331,-0.470518,-0.061104, 0.0000, 0.0000, 0.5200,2633.2621
  -11.0368,   5.0104, -0.353, 0.222301, 0.000000, 0.001370,-0.387774,-0.061078, 0.0000, 0.0000, 0.5278,3736.1367
   -9.1470,   5.4196, -0.375, 0.215426, 0.000000, 0.001411,-0.315475,-0.061047, 0.0000, 0.0000, 0.5373,5134.2589
   -7.1875,   5.8438, -0.398, 0.207528, 0.000000, 0.001441,-0.252972,-0.061035, 0.0000, 0.0000, 0.5491,6860.0316
   -5.1734,   6.2799, -0.416, 0.198364, 0.000000, 0.001442,-0.199554,-0.061090, 0.0000, 0.0000, 0.5646,8938.3621
   -3.1199,   6.7245, -0.417, 0.187521, 0.000000, 0.001364,-0.154647,-0.061339, 0.0000, 0.0000, 0.5860,11383.6268
   -1.0426,   7.1743, -0.331, 0.174316, 0.000000, 0.001009,-0.118151,-0.062129, 0.0000, 0.0000, 0.6185,14196.4796
    1.0426,   7.1743, -0.331, 0.174316, 0.000000, 0.001009,-0.118151,-0.062129, 0.0000, 0.0000, 0.6185,14196.4796
    3.1199,   6.7245, -0.417, 0.187521, 0.000000, 0.001364,-0.154647,-0.061339, 0.0000, 0.0000, 0.5860,11383.6268
    5.1734,   6.2799, -0.416, 0.198364, 0.000000, 0.001442,-0.199554,-0.061090, 0.0000, 0.0000, 0.5646,8938.3621
    7.1875,   5.8438, -0.398, 0.207528, 0.000000, 0.001441,-0.252972,-0.061035, 0.0000, 0.0000, 0.5491,6860.0316
    9.1470,   5.4196, -0.375, 0.215426, 0.000000, 0.001411,-0.315475,-0.061047, 0.0000, 0.0000, 0.5373,5134.2589
   11.0368,   5.0104, -0.353, 0.222301, 0.000000, 0.001370,-0.387774,-0.061078, 0.0000, 0.0000, 0.5278,3736.1367
   12.8427,   4.6194, -0.334, 0.228285, 0.000000, 0.001331,-0.470518,-0.061104, 0.0000, 0.0000, 0.5200,2633.2621
   14.5508,   4.2496, -0.320, 0.233420, 0.000000, 0.001303,-0.564078,-0.061108, 0.0000, 0.0000, 0.5136,1788.5702
   16.1481,   3.9038, -0.313, 0.237654, 0.000000, 0.001298,-0.668227,-0.061077, 0.0000, 0.0000, 0.5084,1162.8845
   17.6226,   3.5845, -0.317, 0.240820, 0.000000, 0.001331,-0.781600,-0.060983, 0.0000, 0.0000, 0.5043,717.1099
   18.9629,   3.2943, -0.336, 0.242575, 0.000000, 0.001423,-0.900841,-0.060779, 0.0000, 0.0000, 0.5015,414.0139
   20.1589,   3.0354, -0.380, 0.242301, 0.000000, 0.001606,-1.019303,-0.060367, 0.0000, 0.0000, 0.5000,219.5739
   21.2015,   2.8097, -0.461, 0.238943, 0.000000, 0.001921,-1.125096,-0.059556, 0.0000, 0.0000, 0.5003,103.9074
   22.0828,   2.6189, -0.599, 0.230782, 0.000000, 0.002411,-1.198667,-0.057965, 0.0000, 0.0000, 0.5028,41.8346
   22.7960,   2.4644, -0.826, 0.215216, 0.000000, 0.003103,-1.211410,-0.054939, 0.0000, 0.0000, 0.5081,13.1518
   23.3357,   2.3476, -1.193, 0.188681, 0.000000, 0.003930,-1.130796,-0.049614, 0.0000, 0.0000, 0.5171, 2.6928
   23.6977,   2.2692, -1.743, 0.147056, 0.000000, 0.004474,-0.949563,-0.042072, 0.0000, 0.0000, 0.5333, 0.2112
   23.8795,   2.2299, -2.411, 0.091466, 0.000000, 0.003852,-0.644806,-0.026139, 0.0000, 0.0000, 0.5140, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
Main WingCp Coefficients
Strip 1
  12,   1.564e+01,  -2.386e+01,   8.751e-01,      -0.004,      -0.038,      -0.999,   3.459e-03,      0.1281
  13,   1.556e+01,  -2.386e+01,   8.749e-01,       0.006,      -0.035,      -0.999,   1.014e-02,      0.1037
  14,   1.542e+01,  -2.386e+01,   8.713e-01,       0.037,      -0.023,      -0.999,   1.614e-02,      0.0762
  15,   1.521e+01,  -2.386e+01,   8.592e-01,       0.076,      -0.008,      -0.997,   2.109e-02,      0.0622
  16,   1.496e+01,  -2.386e+01,   8.345e-01,       0.118,       0.008,      -0.993,   2.468e-02,      0.0280
  17,   1.468e+01,  -2.387e+01,   8.017e-01,       0.116,       0.008,      -0.993,   2.649e-02,     -0.0475
  18,   1.440e+01,  -2.387e+01,   7.777e-01,       0.050,      -0.023,      -0.998,   2.632e-02,     -0.1176
  19,   1.412e+01,  -2.387e+01,   7.724e-01,      -0.014,      -0.054,      -0.998,   2.450e-02,     -0.1392
  20,   1.387e+01,  -2.387e+01,   7.819e-01,      -0.066,      -0.080,      -0.995,   2.110e-02,     -0.1470
  21,   1.366e+01,  -2.387e+01,   8.004e-01,      -0.123,      -0.109,      -0.986,   1.630e-02,     -0.1705
  22,   1.352e+01,  -2.387e+01,   8.247e-01,      -0.230,      -0.167,      -0.959,   1.052e-02,     -0.2795
  23,   1.344e+01,  -2.386e+01,   8.574e-01,      -0.665,      -0.397,      -0.633,   5.348e-03,      0.2441
  24,   1.344e+01,  -2.386e+01,   9.045e-01,      -0.748,      -0.401,       0.529,   6.723e-03,      0.3594
  25,   1.352e+01,  -2.386e+01,   9.539e-01,      -0.357,      -0.171,       0.918,   1.112e-02,     -0.3670
  26,   1.366e+01,  -2.386e+01,   9.911e-01,      -0.170,      -0.067,       0.983,   1.645e-02,     -0.3245
  27,   1.387e+01,  -2.386e+01,   1.017e+00,      -0.090,      -0.024,       0.996,   2.113e-02,     -0.2473
  28,   1.412e+01,  -2.386e+01,   1.032e+00,      -0.034,       0.004,       0.999,   2.449e-02,     -0.2143
  29,   1.440e+01,  -2.386e+01,   1.034e+00,       0.015,       0.028,       0.999,   2.625e-02,     -0.1940
  30,   1.468e+01,  -2.386e+01,   1.022e+00,       0.072,       0.054,       0.996,   2.632e-02,     -0.1647
  31,   1.496e+01,  -2.386e+01,   9.945e-01,       0.123,       0.076,       0.989,   2.467e-02,     -0.1144
  32,   1.521e+01,  -2.386e+01,   9.596e-01,       0.156,       0.089,       0.984,   2.130e-02,     -0.0673
  33,   1.542e+01,  -2.386e+01,   9.249e-01,       0.182,       0.098,       0.978,   1.643e-02,     -0.0337
  34,   1.556e+01,  -2.386e+01,   8.959e-01,       0.221,       0.112,       0.969,   1.043e-02,      0.0606
  35,   1.564e+01,  -2.386e+01,   8.791e-01,       0.210,       0.108,       0.972,   3.547e-03,      0.1255
Strip 2
  36,   1.557e+01,  -2.368e+01,   8.685e-01,      -0.004,      -0.038,      -0.999,   1.053e-02,      0.1857
  37,   1.550e+01,  -2.368e+01,   8.682e-01,       0.006,      -0.035,      -0.999,   3.088e-02,      0.1705
  38,   1.535e+01,  -2.368e+01,   8.646e-01,       0.037,      -0.023,      -0.999,   4.916e-02,      0.1466
  39,   1.514e+01,  -2.368e+01,   8.523e-01,       0.076,      -0.008,      -0.997,   6.423e-02,      0.1171
  40,   1.489e+01,  -2.368e+01,   8.271e-01,       0.118,       0.008,      -0.993,   7.516e-02,      0.0575
  41,   1.460e+01,  -2.368e+01,   7.938e-01,       0.116,       0.008,      -0.993,   8.065e-02,     -0.0537
  42,   1.431e+01,  -2.369e+01,   7.693e-01,       0.050,      -0.023,      -0.998,   8.015e-02,     -0.1521
  43,   1.403e+01,  -2.369e+01,   7.639e-01,      -0.014,      -0.054,      -0.998,   7.461e-02,     -0.1818
  44,   1.377e+01,  -2.369e+01,   7.736e-01,      -0.066,      -0.080,      -0.995,   6.425e-02,     -0.1886
  45,   1.356e+01,  -2.368e+01,   7.925e-01,      -0.123,      -0.109,      -0.986,   4.965e-02,     -0.1999
  46,   1.342e+01,  -2.368e+01,   8.171e-01,      -0.230,      -0.167,      -0.959,   3.203e-02,     -0.2732
  47,   1.334e+01,  -2.368e+01,   8.504e-01,      -0.665,      -0.397,      -0.633,   1.629e-02,      0.2760
  48,   1.334e+01,  -2.368e+01,   8.984e-01,      -0.748,      -0.401,       0.529,   2.047e-02,      0.4032
  49,   1.342e+01,  -2.368e+01,   9.486e-01,      -0.357,      -0.171,       0.918,   3.386e-02,     -0.3968
  50,   1.356e+01,  -2.368e+01,   9.864e-01,      -0.170,      -0.067,       0.983,   5.009e-02,     -0.4069
  51,   1.377e+01,  -2.368e+01,   1.013e+00,      -0.090,      -0.024,       0.996,   6.435e-02,     -0.3291
  52,   1.403e+01,  -2.368e+01,   1.028e+00,      -0.034,       0.004,       0.999,   7.457e-02,     -0.2860
  53,   1.431e+01,  -2.368e+01,   1.030e+00,       0.015,       0.028,       0.999,   7.995e-02,     -0.2600
  54,   1.460e+01,  -2.368e+01,   1.018e+00,       0.072,       0.054,       0.996,   8.016e-02,     -0.2249
  55,   1.489e+01,  -2.368e+01,   9.900e-01,       0.123,       0.076,       0.989,   7.514e-02,     -0.1621
  56,   1.514e+01,  -2.368e+01,   9.544e-01,       0.156,       0.089,       0.984,   6.488e-02,     -0.0961
  57,   1.535e+01,  -2.368e+01,   9.192e-01,       0.182,       0.098,       0.978,   5.004e-02,     -0.0374
  58,   1.550e+01,  -2.368e+01,   8.896e-01,       0.221,       0.112,       0.969,   3.176e-02,      0.0871
  59,   1.557e+01,  -2.368e+01,   8.725e-01,       0.210,       0.108,       0.972,   1.080e-02,      0.1695
Strip 3
  60,   1.545e+01,  -2.332e+01,   8.552e-01,      -0.004,      -0.038,      -0.999,   1.807e-02,      0.2150
