xflr5 v6.61

Project Wing
T1-10.0 m/s-Panel-Inviscid
QInf  =,   10.000000 ,m/s
Alpha = ,  20.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   1.822068
Cy    = ,   0.000000
Cd=,   0.100303,ICd=,    0.100303,PCd=,    0.000000
Cl   = ,-5.37791e-15
Cm   =,    -2.55629
ICn=,    0.000000,PCn=,    0.000000
XCP=,    7.469389, YCP=,    0.000000, ZCP=,    0.563705 
XNP=,    0.000000
Bending =, 114713.817872

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -23.8795,   2.2299,-11.544, 0.637247, 0.000000, 0.130123,-4.326832, 0.077912, 0.0000, 0.0000, 0.1346, 0.0000
  -23.6977,   2.2692, -9.511, 1.054153, 0.000000, 0.176543,-6.826276, 0.041012, 0.0000, 0.0000, 0.2082, 1.4718
  -23.3357,   2.3476, -7.948, 1.414692, 0.000000, 0.197392,-8.691083, 0.030875, 0.0000, 0.0000, 0.2236,19.1756
  -22.7960,   2.4644, -6.458, 1.674048, 0.000000, 0.189347,-9.686865, 0.003602, 0.0000, 0.0000, 0.2430,96.2502
  -22.0828,   2.6189, -5.138, 1.837124, 0.000000, 0.165005,-9.793113,-0.019227, 0.0000, 0.0000, 0.2554,313.7024
  -21.2015,   2.8097, -4.121, 1.926318, 0.000000, 0.138552,-9.274820,-0.033591, 0.0000, 0.0000, 0.2622,794.3893
  -20.1589,   3.0354, -3.441, 1.965948, 0.000000, 0.117963,-8.409726,-0.041566, 0.0000, 0.0000, 0.2659,1703.5272
  -18.9629,   3.2943, -3.045, 1.974114, 0.000000, 0.104709,-7.397995,-0.045798, 0.0000, 0.0000, 0.2679,3247.4891
  -17.6226,   3.5845, -2.853, 1.962145, 0.000000, 0.097445,-6.361866,-0.048001, 0.0000, 0.0000, 0.2691,5671.0761
  -16.1481,   3.9038, -2.801, 1.936599, 0.000000, 0.094381,-5.369253,-0.049103, 0.0000, 0.0000, 0.2700,9252.5757
  -14.5508,   4.2496, -2.844, 1.901092, 0.000000, 0.094036,-4.454338,-0.049616, 0.0000, 0.0000, 0.2707,14295.8852
  -12.8427,   4.6194, -2.951, 1.857424, 0.000000, 0.095277,-3.631575,-0.049808, 0.0000, 0.0000, 0.2714,21119.2497
  -11.0368,   5.0104, -3.099, 1.806254, 0.000000, 0.097222,-2.904092,-0.049879, 0.0000, 0.0000, 0.2722,30040.4724
   -9.1470,   5.4196, -3.267, 1.747395, 0.000000, 0.099057,-2.269238,-0.050052, 0.0000, 0.0000, 0.2733,41358.8049
   -7.1875,   5.8438, -3.430, 1.679923, 0.000000, 0.099798,-1.721738,-0.050748, 0.0000, 0.0000, 0.2749,55334.0031
   -5.1734,   6.2799, -3.541, 1.602112, 0.000000, 0.097896,-1.255990,-0.053027, 0.0000, 0.0000, 0.2778,72163.2733
   -3.1199,   6.7245, -3.495, 1.511073, 0.000000, 0.090195,-0.868703,-0.059912, 0.0000, 0.0000, 0.2843,91956.9891
   -1.0426,   7.1743, -2.973, 1.396235, 0.000000, 0.065956,-0.563674,-0.082483, 0.0000, 0.0000, 0.3038,114713.8179
    1.0426,   7.1743, -2.973, 1.396235, 0.000000, 0.065956,-0.563674,-0.082483, 0.0000, 0.0000, 0.3038,114713.8179
    3.1199,   6.7245, -3.495, 1.511073, 0.000000, 0.090195,-0.868703,-0.059912, 0.0000, 0.0000, 0.2843,91956.9891
    5.1734,   6.2799, -3.541, 1.602112, 0.000000, 0.097896,-1.255990,-0.053027, 0.0000, 0.0000, 0.2778,72163.2733
    7.1875,   5.8438, -3.430, 1.679923, 0.000000, 0.099798,-1.721738,-0.050748, 0.0000, 0.0000, 0.2749,55334.0031
    9.1470,   5.4196, -3.267, 1.747395, 0.000000, 0.099057,-2.269238,-0.050052, 0.0000, 0.0000, 0.2733,41358.8049
   11.0368,   5.0104, -3.099, 1.806254, 0.000000, 0.097222,-2.904092,-0.049879, 0.0000, 0.0000, 0.2722,30040.4724
   12.8427,   4.6194, -2.951, 1.857424, 0.000000, 0.095277,-3.631575,-0.049808, 0.0000, 0.0000, 0.2714,21119.2497
   14.5508,   4.2496, -2.844, 1.901092, 0.000000, 0.094036,-4.454338,-0.049616, 0.0000, 0.0000, 0.2707,14295.8852
   16.1481,   3.9038, -2.801, 1.936599, 0.000000, 0.094381,-5.369253,-0.049103, 0.0000, 0.0000, 0.2700,9252.5757
   17.6226,   3.5845, -2.853, 1.962145, 0.000000, 0.097445,-6.361866,-0.048001, 0.0000, 0.0000, 0.2691,5671.0761
   18.9629,   3.2943, -3.045, 1.974114, 0.000000, 0.104709,-7.397995,-0.045798, 0.0000, 0.0000, 0.2679,3247.4891
   20.1589,   3.0354, -3.441, 1.965948, 0.000000, 0.117963,-8.409726,-0.041566, 0.0000, 0.0000, 0.2659,1703.5272
   21.2015,   2.8097, -4.121, 1.926318, 0.000000, 0.138552,-9.274820,-0.033591, 0.0000, 0.0000, 0.2622,794.3893
   22.0828,   2.6189, -5.138, 1.837124, 0.000000, 0.165005,-9.793113,-0.019227, 0.0000, 0.0000, 0.2554,313.7024
   22.7960,   2.4644, -6.458, 1.674048, 0.000000, 0.189347,-9.686865, 0.003602, 0.0000, 0.0000, 0.2430,96.2502
   23.3357,   2.3476, -7.948, 1.414692, 0.000000, 0.197392,-8.691083, 0.030875, 0.0000, 0.0000, 0.2236,19.1756
   23.6977,   2.2692, -9.511, 1.054153, 0.000000, 0.176543,-6.826276, 0.041012, 0.0000, 0.0000, 0.2082, 1.4718
   23.8795,   2.2299,-11.544, 0.637247, 0.000000, 0.130123,-4.326832, 0.077912, 0.0000, 0.0000, 0.1346, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
Main WingCp Coefficients
Strip 1
  12,   1.564e+01,  -2.386e+01,   8.751e-01,      -0.004,      -0.038,      -0.999,   3.459e-03,     -2.5056
  13,   1.556e+01,  -2.386e+01,   8.749e-01,       0.006,      -0.035,      -0.999,   1.014e-02,     -2.4917
  14,   1.542e+01,  -2.386e+01,   8.713e-01,       0.037,      -0.023,      -0.999,   1.614e-02,     -2.2190
  15,   1.521e+01,  -2.386e+01,   8.592e-01,       0.076,      -0.008,      -0.997,   2.109e-02,     -1.7826
  16,   1.496e+01,  -2.386e+01,   8.345e-01,       0.118,       0.008,      -0.993,   2.468e-02,     -1.2922
  17,   1.468e+01,  -2.387e+01,   8.017e-01,       0.116,       0.008,      -0.993,   2.649e-02,     -0.8884
  18,   1.440e+01,  -2.387e+01,   7.777e-01,       0.050,      -0.023,      -0.998,   2.632e-02,     -0.6360
  19,   1.412e+01,  -2.387e+01,   7.724e-01,      -0.014,      -0.054,      -0.998,   2.450e-02,     -0.4722
  20,   1.387e+01,  -2.387e+01,   7.819e-01,      -0.066,      -0.080,      -0.995,   2.110e-02,     -0.3117
  21,   1.366e+01,  -2.387e+01,   8.004e-01,      -0.123,      -0.109,      -0.986,   1.630e-02,     -0.0763
  22,   1.352e+01,  -2.387e+01,   8.247e-01,      -0.230,      -0.167,      -0.959,   1.052e-02,      0.0561
  23,   1.344e+01,  -2.386e+01,   8.574e-01,      -0.665,      -0.397,      -0.633,   5.348e-03,     -2.1722
  24,   1.344e+01,  -2.386e+01,   9.045e-01,      -0.748,      -0.401,       0.529,   6.723e-03,     -6.5094
  25,   1.352e+01,  -2.386e+01,   9.539e-01,      -0.357,      -0.171,       0.918,   1.112e-02,     -4.2074
  26,   1.366e+01,  -2.386e+01,   9.911e-01,      -0.170,      -0.067,       0.983,   1.645e-02,     -2.0472
  27,   1.387e+01,  -2.386e+01,   1.017e+00,      -0.090,      -0.024,       0.996,   2.113e-02,     -1.3856
  28,   1.412e+01,  -2.386e+01,   1.032e+00,      -0.034,       0.004,       0.999,   2.449e-02,     -1.1744
  29,   1.440e+01,  -2.386e+01,   1.034e+00,       0.015,       0.028,       0.999,   2.625e-02,     -1.1051
  30,   1.468e+01,  -2.386e+01,   1.022e+00,       0.072,       0.054,       0.996,   2.632e-02,     -1.1333
  31,   1.496e+01,  -2.386e+01,   9.945e-01,       0.123,       0.076,       0.989,   2.467e-02,     -1.3112
  32,   1.521e+01,  -2.386e+01,   9.596e-01,       0.156,       0.089,       0.984,   2.130e-02,     -1.6818
  33,   1.542e+01,  -2.386e+01,   9.249e-01,       0.182,       0.098,       0.978,   1.643e-02,     -2.1235
  34,   1.556e+01,  -2.386e+01,   8.959e-01,       0.221,       0.112,       0.969,   1.043e-02,     -2.3161
  35,   1.564e+01,  -2.386e+01,   8.791e-01,       0.210,       0.108,       0.972,   3.547e-03,     -2.4030
Strip 2
  36,   1.557e+01,  -2.368e+01,   8.685e-01,      -0.004,      -0.038,      -0.999,   1.053e-02,     -1.1150
  37,   1.550e+01,  -2.368e+01,   8.682e-01,       0.006,      -0.035,      -0.999,   3.088e-02,     -1.1118
  38,   1.535e+01,  -2.368e+01,   8.646e-01,       0.037,      -0.023,      -0.999,   4.916e-02,     -1.0046
  39,   1.514e+01,  -2.368e+01,   8.523e-01,       0.076,      -0.008,      -0.997,   6.423e-02,     -0.8267
  40,   1.489e+01,  -2.368e+01,   8.271e-01,       0.118,       0.008,      -0.993,   7.516e-02,     -0.6187
  41,   1.460e+01,  -2.368e+01,   7.938e-01,       0.116,       0.008,      -0.993,   8.065e-02,     -0.4415
  42,   1.431e+01,  -2.369e+01,   7.693e-01,       0.050,      -0.023,      -0.998,   8.015e-02,     -0.2955
  43,   1.403e+01,  -2.369e+01,   7.639e-01,      -0.014,      -0.054,      -0.998,   7.461e-02,     -0.1433
  44,   1.377e+01,  -2.369e+01,   7.736e-01,      -0.066,      -0.080,      -0.995,   6.425e-02,      0.0443
  45,   1.356e+01,  -2.368e+01,   7.925e-01,      -0.123,      -0.109,      -0.986,   4.965e-02,      0.2642
  46,   1.342e+01,  -2.368e+01,   8.171e-01,      -0.230,      -0.167,      -0.959,   3.203e-02,      0.0031
  47,   1.334e+01,  -2.368e+01,   8.504e-01,      -0.665,      -0.397,      -0.633,   1.629e-02,     -3.7409
  48,   1.334e+01,  -2.368e+01,   8.984e-01,      -0.748,      -0.401,       0.529,   2.047e-02,     -9.2352
  49,   1.342e+01,  -2.368e+01,   9.486e-01,      -0.357,      -0.171,       0.918,   3.386e-02,     -5.7136
  50,   1.356e+01,  -2.368e+01,   9.864e-01,      -0.170,      -0.067,       0.983,   5.009e-02,     -2.6298
  51,   1.377e+01,  -2.368e+01,   1.013e+00,      -0.090,      -0.024,       0.996,   6.435e-02,     -1.5559
  52,   1.403e+01,  -2.368e+01,   1.028e+00,      -0.034,       0.004,       0.999,   7.457e-02,     -1.1564
  53,   1.431e+01,  -2.368e+01,   1.030e+00,       0.015,       0.028,       0.999,   7.995e-02,     -0.9961
  54,   1.460e+01,  -2.368e+01,   1.018e+00,       0.072,       0.054,       0.996,   8.016e-02,     -0.9331
  55,   1.489e+01,  -2.368e+01,   9.900e-01,       0.123,       0.076,       0.989,   7.514e-02,     -0.9385
  56,   1.514e+01,  -2.368e+01,   9.544e-01,       0.156,       0.089,       0.984,   6.488e-02,     -1.0274
  57,   1.535e+01,  -2.368e+01,   9.192e-01,       0.182,       0.098,       0.978,   5.004e-02,     -1.1336
  58,   1.550e+01,  -2.368e+01,   8.896e-01,       0.221,       0.112,       0.969,   3.176e-02,     -1.0741
  59,   1.557e+01,  -2.368e+01,   8.725e-01,       0.210,       0.108,       0.972,   1.080e-02,     -1.0396
Strip 3
  60,   1.545e+01,  -2.332e+01,   8.552e-01,      -0.004,      -0.038,      -0.999,   1.807e-02,     -0.0484
